sample_id,image_path,mask_path,boundary_path,category,e2e_group_id,slice_id
AMD (1).E2E_Image 10,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 10.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 10.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 10.csv,AMD Part1,AMD (1).E2E,Image 10
AMD (1).E2E_Image 11,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 11.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 11.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 11.csv,AMD Part1,AMD (1).E2E,Image 11
AMD (1).E2E_Image 12,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 12.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 12.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 12.csv,AMD Part1,AMD (1).E2E,Image 12
AMD (1).E2E_Image 13,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 13.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 13.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 13.csv,AMD Part1,AMD (1).E2E,Image 13
AMD (1).E2E_Image 14,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 14.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 14.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 14.csv,AMD Part1,AMD (1).E2E,Image 14
AMD (1).E2E_Image 15,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 15.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 15.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 15.csv,AMD Part1,AMD (1).E2E,Image 15
AMD (1).E2E_Image 16,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 16.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 16.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 16.csv,AMD Part1,AMD (1).E2E,Image 16
AMD (1).E2E_Image 17,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 17.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 17.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 17.csv,AMD Part1,AMD (1).E2E,Image 17
AMD (1).E2E_Image 18,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 18.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 18.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 18.csv,AMD Part1,AMD (1).E2E,Image 18
AMD (1).E2E_Image 19,Images/Images_Manual/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 19.png,Masks/Masks_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 19.png,Boundaries/Boundaries_Manual/Grading_1/AMD Part1/AMD (1).E2E/2- 25- 2017 9- 10- 42 PM/Image 19.csv,AMD Part1,AMD (1).E2E,Image 19
